Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100792090;"Journal of Artificial Intelligence and Soft Computing Research";journal;"24496499, 20832567";"De Gruyter Open Ltd";Yes;No;0,691;Q2;29;20;68;828;338;67;4,94;41,40;9,84;1;2;Poland;Eastern Europe;"De Gruyter Open Ltd";"2013-2025";"Computer Vision and Pattern Recognition (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Modeling and Simulation (Q2)";"Computer Science; Mathematics"
2;21100810658;"Paladyn";journal;"20814836";"Walter de Gruyter GmbH";Yes;No;0,463;Q2;31;32;65;1491;170;64;2,52;46,59;35,21;3;8;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2010-2024";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Developmental Neuroscience (Q4)";"Computer Science; Neuroscience"
3;13427;"Bulletin of the Polish Academy of Sciences: Technical Sciences";journal;"23001917, 02397528";"Polish Academy of Sciences";Yes;No;0,350;Q3;50;159;321;4943;647;318;1,85;31,09;16,31;2;32;Poland;Eastern Europe;"Polish Academy of Sciences";"1983-1988, 2004-2025";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science; Engineering; Physics and Astronomy"
4;130045;"Journal of Applied Biomedicine";journal;"12140287, 1214021X";"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";Yes;No;0,306;-;40;18;119;632;218;119;1,99;35,11;41,18;1;8;Czech Republic;Eastern Europe;"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";"2005-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
5;24802;"Neural Network World";journal;"23364335, 12100552";"Czech Technical University in Prague";No;No;0,276;Q3;30;24;86;661;131;85;1,75;27,54;31,15;0;2;Czech Republic;Eastern Europe;"Czech Technical University in Prague";"1994-2023";"Artificial Intelligence (Q3); Hardware and Architecture (Q3); Software (Q3); Neuroscience (miscellaneous) (Q4)";"Computer Science; Neuroscience"
6;21100818722;"Cybernetics and Physics";journal;"22237038, 22264116";"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";Yes;Yes;0,267;Q3;12;24;107;636;82;106;0,69;26,50;24,56;0;1;Russian Federation;Eastern Europe;"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";"2016-2024";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Fluid Flow and Transfer Processes (Q3); Physics and Astronomy (miscellaneous) (Q3); Signal Processing (Q3)";"Chemical Engineering; Computer Science; Mathematics; Physics and Astronomy"
7;21100793186;"SPIIRAS Proceedings";journal;"20789181, 20789599";"St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences";Yes;Yes;0,242;Q4;0;0;0;0;0;0;0,00;0,00;0,00;0;0;Russian Federation;Eastern Europe;"St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences";"2016-2020";"Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4)";"Computer Science; Engineering; Mathematics"
8;21100255064;"Mendel";journal;"25713701, 18033814";"Brno University of Technology";Yes;No;0,221;Q4;16;11;91;218;45;89;0,52;19,82;16,00;0;0;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2024";"Computer Science (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4); Computational Mathematics (Q4); Control and Systems Engineering (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
9;24449;"Kybernetika";journal;"00235954, 1805949X";"Academy of Sciences of the Czech Republic";Yes;No;0,218;Q4;43;41;195;1348;181;182;0,95;32,88;29,35;0;1;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2024";"Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Information Systems (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
10;21101000293;"Mekhatronika, Avtomatizatsiya, Upravlenie";journal;"16846427, 26191253";"New Technologies Publishing House";No;No;0,188;Q4;6;78;89;1657;27;89;0,30;21,24;20,75;0;10;Russian Federation;Eastern Europe;"New Technologies Publishing House";"2019-2025";"Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Engineering"
