Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;6,668;Q1;232;168;471;12184;8969;457;17,40;72,52;26,48;0;6;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
2;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;5,940;Q1;94;175;427;8496;8274;303;15,42;48,55;25,11;8;14;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
3;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;5,775;Q1;196;92;464;9481;12439;450;23,15;103,05;28,19;10;17;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
4;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;3,260;Q1;138;447;490;54420;9394;489;18,87;121,74;28,89;16;80;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
5;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;3,227;Q1;51;79;106;5426;2152;105;18,39;68,68;31,22;9;18;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
6;24823;"Pattern Recognition";journal;"00313203";"Elsevier Ltd";No;No;2,732;Q1;257;775;1594;35642;15599;1591;9,51;45,99;29,44;4;32;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
7;24804;"Neural Networks";journal;"08936080, 18792782";"Elsevier Ltd";No;No;2,605;Q1;186;546;1124;29315;10180;1119;7,20;53,69;28,22;0;30;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
8;24772;"Knowledge-Based Systems";journal;"09507051";"Elsevier B.V.";No;No;2,219;Q1;188;897;2840;49776;26048;2839;8,57;55,49;30,27;4;78;Netherlands;Western Europe;"Elsevier B.V.";"1987-2025";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
9;21101047378;"Energy and AI";journal;"26665468";"Elsevier B.V.";Yes;No;2,160;Q1;44;100;164;5416;2107;160;12,14;54,16;20,59;1;66;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Energy; Engineering"
10;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,137;Q1;48;65;137;5733;2158;137;15,75;88,20;25,79;4;17;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
11;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;2,071;Q1;113;186;399;10727;4386;392;8,38;57,67;23,83;1;84;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
12;23675;"Artificial Intelligence";journal;"00043702";"Elsevier B.V.";No;No;2,042;Q1;174;142;309;8968;2455;306;9,16;63,15;14,83;3;8;Netherlands;Western Europe;"Elsevier B.V.";"1968, 1970-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
13;24777;"Minds and Machines";journal;"09246495, 15728641";"Springer Netherlands";No;No;1,945;Q1;56;33;93;2166;1148;84;4,95;65,64;22,97;1;3;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
14;21101064700;"IACR Transactions on Cryptographic Hardware and Embedded Systems";journal;"25692925";"Ruhr-University of Bochum";Yes;Yes;1,926;Q1;48;80;238;3621;1387;238;4,78;45,26;20,82;0;0;Germany;Western Europe;"Ruhr-University of Bochum";"2018-2025";"Artificial Intelligence (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
15;24201;"Expert Systems with Applications";journal;"09574174";"Elsevier Ltd";No;No;1,875;Q1;290;2269;4191;128722;41525;4191;9,30;56,73;28,82;6;527;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
16;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,836;Q1;32;29;89;1289;574;83;7,49;44,45;34,31;0;4;Switzerland;Western Europe;"Springer International Publishing";"2016-2025";"Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
17;24807;"Neurocomputing";journal;"09252312, 18728286";"Elsevier B.V.";No;No;1,815;Q1;216;974;4640;56985;33804;4589;6,93;58,51;30,69;3;54;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
18;145544;"Journal of Semantics";journal;"01675133, 14774593";"Oxford University Press";No;No;1,805;Q1;52;19;57;1356;123;57;2,22;71,37;35,71;0;0;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2024";"Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1)";"Arts and Humanities; Computer Science; Social Sciences"
19;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";"Elsevier Ltd";No;No;1,749;Q1;149;1552;1209;92331;11943;1206;9,29;59,49;25,89;5;368;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
20;23640;"Advanced Engineering Informatics";journal;"14740346";"Elsevier Ltd";No;No;1,731;Q1;124;378;650;22451;6471;644;9,27;59,39;29,93;2;88;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2025";"Artificial Intelligence (Q1); Information Systems (Q1)";"Computer Science"
21;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";"Elsevier B.V.";No;No;1,723;Q1;118;180;437;11318;4204;431;7,71;62,88;33,72;1;56;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
22;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,720;Q1;175;163;333;8404;2508;322;5,92;51,56;18,65;2;7;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
