Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";"Adam Mickiewicz University";Yes;Yes;1,915;Q1;33;26;84;1557;506;74;6,10;59,88;50,00;0;2;Poland;Eastern Europe;"Adam Mickiewicz University";"2016-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
2;21101040697;"Russian Language Studies";journal;"26188171, 26188163";"RUDN University";Yes;Yes;0,833;Q1;7;39;96;1187;87;96;0,91;30,44;74,68;0;11;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
3;4100151705;"Informatics in Education";journal;"16485831";"Vilnius University Institute of Data Science and Digital Technologies";Yes;Yes;0,751;Q1;35;32;92;1693;379;91;4,43;52,91;31,11;0;5;Lithuania;Eastern Europe;"Vilnius University Institute of Data Science and Digital Technologies";"2006-2024";"Communication (Q1); Education (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
4;17700156732;"Journal of Teacher Education for Sustainability";journal;"16914147, 16915534";"De Gruyter Open Ltd";Yes;No;0,576;Q2;25;23;70;1127;180;64;2,17;49,00;70,37;0;21;Poland;Eastern Europe;"De Gruyter Open Ltd";"2007-2024";"Education (Q2)";"Social Sciences"
5;21100228035;"Psychology in Russia: State of the Art";journal;"20746857";"Russian Psychological Society";Yes;Yes;0,471;Q2;17;31;119;1480;202;119;1,89;47,74;62,14;0;8;Russian Federation;Eastern Europe;"Russian Psychological Society";"2012-2024";"History and Philosophy of Science (Q1); Education (Q2); Psychology (miscellaneous) (Q3)";"Arts and Humanities; Psychology; Social Sciences"
6;21101134424;"Baltic Journal of Health and Physical Activity";journal;"20801297, 20809999";"Gdansk University of Physical Education and Sport";Yes;Yes;0,440;Q2;10;42;142;1656;184;142;1,60;39,43;35,48;0;5;Poland;Eastern Europe;"Gdansk University of Physical Education and Sport";"2019-2024";"Education (Q2); Health Professions (miscellaneous) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Public Health, Environmental and Occupational Health (Q3)";"Health Professions; Medicine; Social Sciences"
7;21100854757;"Open Archaeology";journal;"23006560";"Walter de Gruyter GmbH";Yes;No;0,419;Q2;18;30;228;2323;224;224;0,80;77,43;48,08;0;6;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2015-2025";"Archeology (arts and humanities) (Q1); Conservation (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
8;21101037149;"Training, Language and Culture";journal;"2521442X, 25202073";"RUDN University";Yes;Yes;0,398;Q2;11;32;87;1708;108;87;1,34;53,38;59,02;0;6;Russian Federation;Eastern Europe;"RUDN University";"2017-2024";"Cultural Studies (Q1); Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
9;21100298667;"Center for Educational Policy Studies Journal";journal;"18559719, 22322647";"University of Ljubljana";Yes;Yes;0,394;Q2;24;33;142;1443;169;128;1,02;43,73;71,83;0;16;Slovenia;Eastern Europe;"University of Ljubljana";"2011-2024";"Education (Q2)";"Social Sciences"
10;19700182688;"Journal of Baltic Science Education";journal;"16483898";"Scientific Methodical Center";Yes;No;0,388;Q2;29;76;222;4310;369;212;1,33;56,71;46,41;0;22;Lithuania;Eastern Europe;"Scientific Methodical Center";"2008-2024";"Education (Q2)";"Social Sciences"
