Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;5,217;Q1;51;140;180;9490;5897;179;30,12;67,79;38,94;2;44;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
2;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;5,210;Q1;80;56;131;4732;1149;120;5,64;84,50;24,43;0;9;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2025";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
3;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";"Cambridge University Press";No;No;4,020;Q1;77;93;202;3848;2246;182;6,42;41,38;42,78;2;7;United Kingdom;Western Europe;"Cambridge University Press";"2010-2024";"Education (Q1)";"Social Sciences"
4;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;3,912;Q1;77;64;189;4480;4081;185;22,57;70,00;46,88;6;22;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
5;4700152248;"Educational Research Review";journal;"1747938X";"Elsevier Ltd";No;No;3,839;Q1;117;47;131;5165;2039;131;13,85;109,89;57,14;3;17;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2025";"Education (Q1)";"Social Sciences"
6;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;3,343;Q1;253;114;532;9220;8044;532;13,85;80,88;45,14;4;53;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
7;19700201158;"Studies in Science Education";journal;"19408412, 03057267";"Taylor and Francis Ltd.";No;No;2,951;Q1;58;18;24;2717;314;24;14,28;150,94;63,46;1;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2025";"Education (Q1)";"Social Sciences"
8;23429;"Assessing Writing";journal;"10752935";"Elsevier Ltd";No;No;2,847;Q1;56;64;171;3276;1262;157;7,41;51,19;42,03;0;9;United Kingdom;Western Europe;"Elsevier Ltd";"1994-2000, 2002-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
9;23988;"British Journal of Educational Technology";journal;"00071013, 14678535";"Wiley-Blackwell Publishing Ltd";No;No;2,690;Q1;127;150;332;9981;3909;315;11,38;66,54;49,57;1;81;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2025";"Education (Q1); E-learning (Q1)";"Social Sciences"
10;21100873488;"International Journal of STEM Education";journal;"21967822";"SpringerOpen";Yes;No;2,606;Q1;63;60;196;5664;2149;185;10,35;94,40;62,60;0;23;Switzerland;Western Europe;"SpringerOpen";"2014-2025";"Education (Q1)";"Social Sciences"
