from_concept,to_concept,weight
AI in Service Interactions,Artificial Intelligence in Healthcare and Education,4
AI in Service Interactions,Artificial intelligence,6
AI in Service Interactions,Computer science,9
AI in Service Interactions,Engineering,3
AI in Service Interactions,Engineering ethics,3
AI in Service Interactions,"FinTech, Crowdfunding, Digital Finance",2
AI in Service Interactions,Generative grammar,4
AI in Service Interactions,Hospitality,1
AI in Service Interactions,Knowledge management,3
AI in Service Interactions,Law,4
AI in Service Interactions,Pedagogy,3
AI in Service Interactions,Political science,4
AI in Service Interactions,Public relations,1
AI in Service Interactions,Sociology,5
AI in Service Interactions,Tourism,1
AI in Service Interactions,Transformative learning,1
Artificial Intelligence in Healthcare and Education,Artificial intelligence,26
Artificial Intelligence in Healthcare and Education,Computer science,27
Artificial Intelligence in Healthcare and Education,Engineering,8
Artificial Intelligence in Healthcare and Education,Engineering ethics,3
Artificial Intelligence in Healthcare and Education,"FinTech, Crowdfunding, Digital Finance",2
Artificial Intelligence in Healthcare and Education,Generative grammar,5
Artificial Intelligence in Healthcare and Education,Hospitality,1
Artificial Intelligence in Healthcare and Education,Knowledge management,10
Artificial Intelligence in Healthcare and Education,Law,13
Artificial Intelligence in Healthcare and Education,Pedagogy,4
Artificial Intelligence in Healthcare and Education,Political science,13
Artificial Intelligence in Healthcare and Education,Public relations,2
Artificial Intelligence in Healthcare and Education,Sociology,8
Artificial Intelligence in Healthcare and Education,Tourism,1
Artificial Intelligence in Healthcare and Education,Transformative learning,1
Artificial intelligence,Computer science,174
Artificial intelligence,Engineering,46
Artificial intelligence,Engineering ethics,8
Artificial intelligence,"FinTech, Crowdfunding, Digital Finance",4
Artificial intelligence,Generative grammar,12
Artificial intelligence,Hospitality,1
Artificial intelligence,Knowledge management,21
Artificial intelligence,Law,40
Artificial intelligence,Pedagogy,7
Artificial intelligence,Political science,41
Artificial intelligence,Public relations,5
Artificial intelligence,Sociology,17
Artificial intelligence,Tourism,1
Artificial intelligence,Transformative learning,1
Computer science,Engineering,53
Computer science,Engineering ethics,10
Computer science,"FinTech, Crowdfunding, Digital Finance",4
Computer science,Generative grammar,12
Computer science,Hospitality,1
Computer science,Knowledge management,30
Computer science,Law,47
Computer science,Pedagogy,8
Computer science,Political science,49
Computer science,Public relations,5
Computer science,Sociology,24
Computer science,Tourism,1
Computer science,Transformative learning,1
Engineering,Engineering ethics,11
Engineering,"FinTech, Crowdfunding, Digital Finance",2
Engineering,Generative grammar,4
Engineering,Hospitality,1
Engineering,Knowledge management,17
Engineering,Law,17
Engineering,Pedagogy,2
Engineering,Political science,19
Engineering,Public relations,5
Engineering,Sociology,9
Engineering,Tourism,1
Engineering,Transformative learning,1
