institution_id,institution_name,country_code,type,works_count,citations_sum,oa_share,collaboration_rate,multi_country_rate,pubs_2020,pubs_2021,pubs_2022,pubs_2023,pubs_2024,top_5_concepts,top_5_sources
https://openalex.org/I98358874,Delft University of Technology,NL,education,7,12730,91.7,58.3,50.0,1,3,0,2,1,Computer science (12); Artificial intelligence (12); Political science (10); Engineering (9); Law (9),International Journal of Information Management (5); Artificial Intelligence in Medicine (3); Expert Systems with Applications (1); Minds and Machines (1); Frontiers in Artificial Intelligence (1)
https://openalex.org/I62916508,Technical University of Munich,DE,education,6,17625,100.0,69.0,69.0,1,3,0,2,0,Computer science (29); Artificial intelligence (29); Machine learning (21); Mathematics (17); Artificial neural network (15),Artificial Intelligence Review (13); Nature Machine Intelligence (9); Neural Processing Letters (4); Computers and Education Artificial Intelligence (3)
https://openalex.org/I913481162,Wageningen University & Research,NL,education,5,698,100.0,83.3,83.3,0,1,3,1,0,Computer science (5); Artificial intelligence (4); Deep learning (4); Machine learning (4); Political science (4),Applied Artificial Intelligence (2); AI & Society (2); Expert Systems (1); Knowledge and Information Systems (1)
https://openalex.org/I153648349,University of Leicester,GB,education,5,2654,100.0,100.0,100.0,2,1,2,0,0,Computer science (11); Artificial intelligence (10); Pattern recognition (psychology) (9); Artificial neural network (9); Machine learning (7),Complex & Intelligent Systems (5); International Journal of Intelligent Systems (3); Computers and Education Artificial Intelligence (1); Neurocomputing (1); Expert Systems (1)
https://openalex.org/I47508984,Imperial College London,GB,education,5,2361,83.3,100.0,100.0,2,2,0,1,0,Computer science (6); Artificial intelligence (6); Machine learning (5); Computer security (4); Information privacy (3),Nature Machine Intelligence (4); Neural Computing and Applications (1); Neurocomputing (1)
https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,funder,4,2108,85.7,100.0,21.4,1,2,1,0,0,Reinforcement Learning in Robotics (10); Robot Manipulation and Learning (10); Adaptive Dynamic Programming Control (10); Computer science (4); Artificial intelligence (4),Robotics (10); Nature Machine Intelligence (2); Neural Computing and Applications (1); Artificial Intelligence and Law (1)
https://openalex.org/I241749,University of Cambridge,GB,education,4,2284,100.0,100.0,100.0,1,0,1,2,0,Computer science (7); Artificial intelligence (7); Data science (7); Field (mathematics) (4); Mathematics (4),Neurocomputing (3); Nature Machine Intelligence (2); Artificial Intelligence Review (1); Internet of Things (1)
https://openalex.org/I119004910,Silesian University of Technology,PL,education,4,1151,83.3,50.0,50.0,0,4,0,0,0,Computer science (6); Artificial intelligence (6); Machine learning (6); Artificial neural network (5); Deep learning (5),Neural Computing and Applications (3); Expert Systems (2); Applied Artificial Intelligence (1)
https://openalex.org/I108290504,University of Pisa,IT,education,4,2742,100.0,52.9,0.0,1,2,0,1,0,Computer science (17); Artificial intelligence (17); Machine learning (17); Mathematics (13); Field (mathematics) (9),Neural Networks (8); Artificial Intelligence (5); Frontiers in Artificial Intelligence (4)
https://openalex.org/I9360294,University of Bologna,IT,education,4,3310,80.0,60.0,60.0,1,1,0,2,0,Computer science (5); Artificial intelligence (5); Process (computing) (3); Knowledge management (2); Engineering ethics (2),AI & Society (3); International Journal of Information Management (1); Neural Computing and Applications (1)
