source_name,source_issn_l,is_scopus_indexed,works_count,core_status
Nature Machine Intelligence,2522-5839,True,22,Core (Scopus)
AI & Society,0951-5666,True,15,Core (Scopus)
Artificial Intelligence Review,0269-2821,True,14,Core (Scopus)
Expert Systems with Applications,0957-4174,True,14,Core (Scopus)
Neural Computing and Applications,0941-0643,True,13,Core (Scopus)
Computers and Education Artificial Intelligence,2666-920X,True,13,Core (Scopus)
International Journal of Information Management,0268-4012,True,12,Core (Scopus)
Neurocomputing,0925-2312,True,8,Core (Scopus)
Frontiers in Artificial Intelligence,2624-8212,True,6,Core (Scopus)
Applied Artificial Intelligence,0883-9514,True,5,Core (Scopus)
Journal of Intelligent Manufacturing,0956-5515,True,5,Core (Scopus)
Expert Systems,0266-4720,True,5,Core (Scopus)
Neural Networks,0893-6080,True,5,Core (Scopus)
Pattern Recognition,0031-3203,True,4,Core (Scopus)
Applied Intelligence,0924-669X,True,4,Core (Scopus)
